tensor(1.7536, device='cuda:0', grad_fn=<NllLossBackward>) 16.0 tensor(1.5642, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.6000, device='cuda:0', grad_fn=<NllLossBackward>) 16.0 tensor(1.5996, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.5758, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5804, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.6065, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5460, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.5039, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.4879, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.5162, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5434, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.4904, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.3943, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5193, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.4000, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.3861, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.3495, device='cuda:0', grad_fn=<NllLossBackward>) 60.0
tensor(1.3664, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.3220, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.1815, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.1265, device='cuda:0', grad_fn=<NllLossBackward>) 76.0
tensor(1.3685, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.3293, device='cuda:0', grad_fn=<NllLossBackward>) 56.0
tensor(1.3135, device='cuda:0', grad_fn=<NllLossBackward>) 68.0 tensor(1.3283, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.2139, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.3275, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.2972, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.3471, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.1600, device='cuda:0', grad_fn=<NllLossBackward>) 76.0 tensor(1.3704, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.3310, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.2251, device='cuda:0', grad_fn=<NllLossBackward>) 60.0
tensor(1.1345, device='cuda:0', grad_fn=<NllLossBackward>) 76.0 tensor(1.2565, device='cuda:0', grad_fn=<NllLossBackward>) 64.0
tensor(1.3135, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.4119, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.2806, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.1446, device='cuda:0', grad_fn=<NllLossBackward>) 60.0
tensor(1.5445, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.3165, device='cuda:0', grad_fn=<NllLossBackward>) 64.0
tensor(1.2998, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.2885, device='cuda:0', grad_fn=<NllLossBackward>) 56.0
tensor(1.3037, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.2563, device='cuda:0', grad_fn=<NllLossBackward>) 76.0
tensor(1.2890, device='cuda:0', grad_fn=<NllLossBackward>) 60.0 tensor(1.1835, device='cuda:0', grad_fn=<NllLossBackward>) 64.0
tensor(1.3402, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.3210, device='cuda:0', grad_fn=<NllLossBackward>) 56.0
tensor(1.0829, device='cuda:0', grad_fn=<NllLossBackward>) 72.0 tensor(1.2926, device='cuda:0', grad_fn=<NllLossBackward>) 56.0
tensor(1.2055, device='cuda:0', grad_fn=<NllLossBackward>) 68.0 tensor(1.3678, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.2191, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.3014, device='cuda:0', grad_fn=<NllLossBackward>) 64.0
tensor(1.5306, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.4129, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.4116, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.6295, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.2652, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.3663, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.3385, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.3967, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.1313, device='cuda:0', grad_fn=<NllLossBackward>) 84.0 tensor(1.1947, device='cuda:0', grad_fn=<NllLossBackward>) 68.0
tensor(1.1195, device='cuda:0', grad_fn=<NllLossBackward>) 68.0 tensor(1.2042, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.2814, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.2432, device='cuda:0', grad_fn=<NllLossBackward>) 56.0
tensor(1.5426, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.4423, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.4051, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.5134, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.6273, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.4452, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.4463, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.5555, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.5124, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.6790, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.6047, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.6896, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.4548, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.5521, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.4990, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.5467, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5643, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.6509, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.3403, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.4917, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.5753, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.5053, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.5346, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.6529, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.7949, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.9751, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.6767, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.5840, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.7227, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.5529, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.5586, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.6060, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.5105, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.5577, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.4097, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.7348, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5900, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5091, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.4131, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.6478, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.3516, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.5352, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5357, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.4099, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.4274, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.3424, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5698, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.5577, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.8460, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.6133, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.8418, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.7776, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.2885, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.3850, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.4809, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.3338, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.5862, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.6048, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.4386, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.5258, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.3625, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.5017, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.5922, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.6511, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.2532, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.6567, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.6916, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.2628, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.6685, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.5445, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.4226, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.3058, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.7167, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.1834, device='cuda:0', grad_fn=<NllLossBackward>) 56.0
tensor(1.4693, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.2286, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.3066, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.4744, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.7029, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.3208, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.4017, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.2486, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.4138, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.3659, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.3221, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.4273, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5992, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.3649, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.3629, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.4005, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.3838, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.3774, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.4914, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.3354, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.3926, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.4394, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.1111, device='cuda:0', grad_fn=<NllLossBackward>) 60.0 tensor(1.7240, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.4094, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.3125, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.4571, device='cuda:0', grad_fn=<NllLossBackward>) 64.0 tensor(1.3929, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.4119, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.4142, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(1.3923, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.2814, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.4574, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.5910, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.6364, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.5802, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.4678, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.2878, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.4159, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.3740, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.3630, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.6139, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.5650, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.2081, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.3011, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.1244, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.7950, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.6133, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.5600, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.2376, device='cuda:0', grad_fn=<NllLossBackward>) 52.0
tensor(2.0079, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5851, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.2960, device='cuda:0', grad_fn=<NllLossBackward>) 56.0 tensor(1.5536, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.4162, device='cuda:0', grad_fn=<NllLossBackward>) 48.0 tensor(1.5041, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
