tensor(1.5774, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.4782, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5697, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.6469, device='cuda:0', grad_fn=<NllLossBackward>) 16.0
tensor(1.5588, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.6212, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.5464, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.5884, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.5627, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.5971, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.6072, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5056, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5456, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.6021, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.6066, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5434, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.6029, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5969, device='cuda:0', grad_fn=<NllLossBackward>) 16.0
tensor(1.6649, device='cuda:0', grad_fn=<NllLossBackward>) 12.0 tensor(1.6040, device='cuda:0', grad_fn=<NllLossBackward>) 12.0
tensor(1.5906, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.6293, device='cuda:0', grad_fn=<NllLossBackward>) 16.0
tensor(1.5666, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.5281, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.5863, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5943, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.5538, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5960, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.5546, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.6337, device='cuda:0', grad_fn=<NllLossBackward>) 12.0
tensor(1.5521, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.5344, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.5428, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.5659, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.6069, device='cuda:0', grad_fn=<NllLossBackward>) 4.0 tensor(1.5722, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.5804, device='cuda:0', grad_fn=<NllLossBackward>) 44.0 tensor(1.5397, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.5380, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.6249, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.6458, device='cuda:0', grad_fn=<NllLossBackward>) 16.0 tensor(1.5787, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.5759, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.6007, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.5664, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.6255, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.5340, device='cuda:0', grad_fn=<NllLossBackward>) 52.0 tensor(1.5932, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.5701, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.6041, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.5697, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5688, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.5579, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5768, device='cuda:0', grad_fn=<NllLossBackward>) 16.0
tensor(1.5995, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5633, device='cuda:0', grad_fn=<NllLossBackward>) 48.0
tensor(1.5713, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.5898, device='cuda:0', grad_fn=<NllLossBackward>) 20.0
tensor(1.5836, device='cuda:0', grad_fn=<NllLossBackward>) 16.0 tensor(1.5644, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.5974, device='cuda:0', grad_fn=<NllLossBackward>) 16.0 tensor(1.5701, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.5948, device='cuda:0', grad_fn=<NllLossBackward>) 16.0 tensor(1.5823, device='cuda:0', grad_fn=<NllLossBackward>) 36.0
tensor(1.5856, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.5717, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.5570, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5379, device='cuda:0', grad_fn=<NllLossBackward>) 44.0
tensor(1.5381, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.5760, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.5757, device='cuda:0', grad_fn=<NllLossBackward>) 32.0 tensor(1.5847, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.5738, device='cuda:0', grad_fn=<NllLossBackward>) 12.0 tensor(1.5869, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.5589, device='cuda:0', grad_fn=<NllLossBackward>) 20.0 tensor(1.5258, device='cuda:0', grad_fn=<NllLossBackward>) 40.0
tensor(1.5680, device='cuda:0', grad_fn=<NllLossBackward>) 40.0 tensor(1.5763, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.5982, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.5859, device='cuda:0', grad_fn=<NllLossBackward>) 28.0
tensor(1.5891, device='cuda:0', grad_fn=<NllLossBackward>) 36.0 tensor(1.5645, device='cuda:0', grad_fn=<NllLossBackward>) 16.0
tensor(1.5525, device='cuda:0', grad_fn=<NllLossBackward>) 24.0 tensor(1.5828, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
tensor(1.5755, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.5433, device='cuda:0', grad_fn=<NllLossBackward>) 32.0
tensor(1.5567, device='cuda:0', grad_fn=<NllLossBackward>) 28.0 tensor(1.6148, device='cuda:0', grad_fn=<NllLossBackward>) 24.0
